coupon_id,owner_id,category_id,brand_id,discount_type,discount_value,minimum_purchase,issue_date,expiry_date,coupon_value,status,city,source,transferable,validity_duration_days,effective_discount_pct,total_views_count,avg_view_duration,total_requests_count,total_usage_count,swap_offered_count,swap_requested_count,request_conversion_rate
CP0017,U0153,CAT05,B019,flat,200.0,199,2024-11-02,2025-10-31,792.15,expired,Delhi,earned,no,363,25.25,2,209.0,0,0,0,2,0.0
CP0018,U0133,CAT06,B023,percentage,6.9,499,2024-05-24,2024-11-21,2052.76,expired,Patna,earned,yes,181,6.9,4,138.75,0,1,0,0,0.0
CP0019,U0465,CAT06,B023,flat,500.0,1499,2024-10-15,2025-07-15,1824.56,available,Chennai,earned,yes,273,27.4,4,149.0,1,1,0,0,0.25
CP0020,U0485,CAT05,B017,percentage,60.6,1499,2024-07-26,2024-11-26,4502.98,expired,Pune,gifted,no,123,60.6,2,193.0,0,0,0,0,0.0
CP0021,U0241,CAT07,B025,percentage,48.9,0,2024-04-19,2024-07-18,4338.65,claimed,Vadodara,purchased,yes,90,48.9,2,168.0,0,1,0,0,0.0
CP0022,U0212,CAT09,B030,flat,300.0,0,2024-06-26,2024-12-25,4360.7,available,Kolkata,gifted,no,182,6.88,3,201.0,1,0,0,0,0.3333
CP0023,U0171,CAT03,B011,flat,100.0,1499,2023-03-24,2023-12-28,4933.87,available,Delhi,purchased,no,279,2.03,2,58.5,3,0,0,0,1.5
CP0024,U0315,CAT04,B014,percentage,16.9,499,2023-04-01,2023-07-06,3185.76,available,Nagpur,gifted,yes,96,16.9,5,200.6,0,0,1,0,0.0
CP0025,U0098,CAT09,B030,flat,50.0,0,2023-11-26,2024-09-22,3399.9,claimed,Pune,purchased,no,301,1.47,1,271.0,0,0,1,0,0.0
CP0026,U0034,CAT05,B018,percentage,42.8,1999,2023-11-10,2024-03-04,276.31,swapped,Indore,earned,no,115,42.8,2,166.5,1,1,0,1,0.5
CP0027,U0385,CAT07,B026,flat,250.0,199,2024-05-16,2024-12-15,866.17,swapped,Chandigarh,purchased,yes,213,28.86,2,125.0,0,1,0,0,0.0
CP0028,U0188,CAT03,B010,flat,500.0,1499,2023-06-23,2023-09-24,3270.17,available,Jaipur,earned,yes,93,15.29,1,150.0,0,0,1,1,0.0
CP0029,U0214,CAT10,B033,flat,50.0,499,2023-02-19,2023-05-19,1932.26,claimed,Nagpur,earned,yes,89,2.59,1,178.0,0,0,0,0,0.0
CP0030,U0319,CAT01,B003,percentage,12.6,999,2024-06-16,2024-12-01,3518.6,available,Hyderabad,gifted,yes,168,12.6,4,151.25,1,0,0,0,0.25
CP0031,U0103,CAT05,B017,flat,400.0,1999,2023-07-23,2024-06-28,1351.82,claimed,Kolkata,gifted,no,341,29.59,1,142.0,1,1,0,0,1.0
CP0032,U0170,CAT05,B018,percentage,42.2,199,2023-08-01,2024-05-03,63.55,expired,Hyderabad,earned,no,276,42.2,2,173.0,1,0,0,0,0.5
CP0033,U0330,CAT03,B009,flat,75.0,199,2023-04-14,2023-09-22,2310.92,swapped,Jaipur,gifted,yes,161,3.25,7,88.43,1,0,1,1,0.1429
CP0034,U0219,CAT03,B009,flat,250.0,1499,2024-11-24,2025-06-02,623.71,swapped,Delhi,purchased,yes,190,40.08,2,236.0,0,0,1,0,0.0
CP0035,U0450,CAT03,B011,percentage,37.8,1499,2024-09-28,2025-03-14,510.11,expired,Chennai,purchased,no,167,37.8,0,0.0,0,1,0,0,0.0
CP0036,U0454,CAT08,B028,flat,400.0,1999,2024-03-07,2025-03-04,875.55,available,Delhi,referral,yes,362,45.69,1,186.0,2,0,0,0,2.0
CP0037,U0093,CAT02,B008,flat,400.0,999,2024-08-05,2025-04-16,1929.77,available,Mumbai,referral,yes,254,20.73,1,144.0,0,0,0,1,0.0
CP0038,U0134,CAT08,B028,percentage,35.8,1499,2023-02-17,2023-04-20,1605.48,expired,Visakhapatnam,earned,yes,62,35.8,1,205.0,0,0,0,0,0.0
CP0039,U0339,CAT06,B023,percentage,57.5,1499,2023-04-08,2023-12-15,1280.46,available,Chandigarh,purchased,yes,251,57.5,0,0.0,0,1,0,1,0.0
CP0040,U0039,CAT01,B002,percentage,40.2,1999,2024-05-22,2024-09-13,2483.66,available,Jaipur,purchased,yes,114,40.2,1,197.0,0,0,1,0,0.0
CP0041,U0228,CAT09,B032,percentage,66.3,1999,2023-03-22,2023-12-12,2886.52,available,Nagpur,gifted,yes,265,66.3,0,0.0,1,1,0,0,0.0
CP0042,U0019,CAT08,B029,flat,75.0,999,2024-02-18,2024-10-16,2768.04,expired,Vadodara,referral,no,241,2.71,2,39.5,1,0,0,0,0.5
CP0043,U0423,CAT09,B032,percentage,55.4,0,2023-12-16,2024-07-19,4092.11,expired,Surat,earned,no,216,55.4,0,0.0,1,2,0,1,0.0
CP0044,U0002,CAT06,B023,percentage,12.3,299,2024-11-05,2025-03-28,1807.94,claimed,Lucknow,gifted,no,143,12.3,4,242.0,0,0,0,1,0.0
CP0045,U0055,CAT02,B005,flat,400.0,299,2023-05-24,2024-01-18,3073.72,available,Chandigarh,purchased,yes,239,13.01,1,208.0,0,1,0,0,0.0
CP0046,U0064,CAT06,B021,flat,50.0,1999,2024-10-10,2025-09-06,4464.18,claimed,Patna,referral,yes,331,1.12,2,144.5,0,0,1,0,0.0
CP0047,U0248,CAT08,B027,percentage,8.6,999,2024-03-19,2025-02-11,3916.35,swapped,Patna,purchased,yes,329,8.6,0,0.0,2,0,0,0,0.0
CP0048,U0215,CAT02,B008,flat,250.0,999,2024-05-31,2025-01-12,4583.76,expired,Jaipur,gifted,no,226,5.45,0,0.0,0,1,0,0,0.0
CP0049,U0359,CAT05,B020,flat,100.0,1499,2024-02-27,2025-01-30,2585.86,expired,Coimbatore,referral,yes,338,3.87,2,235.0,1,0,0,0,0.5
CP0050,U0364,CAT04,B014,percentage,26.8,1499,2023-12-20,2024-03-26,4877.14,available,Coimbatore,earned,no,97,26.8,2,290.0,0,0,0,0,0.0
CP0051,U0346,CAT02,B007,percentage,48.7,1499,2024-11-14,2025-07-15,4474.64,claimed,Bhopal,earned,yes,243,48.7,1,164.0,1,0,0,0,1.0
CP0052,U0385,CAT01,B004,percentage,55.3,1999,2023-07-24,2024-01-06,846.63,available,Jaipur,purchased,yes,166,55.3,1,30.0,0,0,1,1,0.0
CP0053,U0053,CAT05,B018,flat,50.0,999,2024-01-03,2024-09-20,4346.78,expired,Pune,earned,no,261,1.15,1,26.0,0,0,1,1,0.0
CP0054,U0214,CAT04,B015,flat,50.0,1999,2024-01-26,2024-09-10,4880.32,available,Coimbatore,purchased,no,228,1.02,1,224.0,1,0,0,0,1.0
CP0055,U0379,CAT04,B016,flat,250.0,999,2024-08-25,2025-06-30,1022.52,expired,Kolkata,purchased,yes,309,24.45,1,85.0,1,0,0,0,1.0
CP0056,U0021,CAT02,B006,flat,500.0,499,2023-05-03,2023-12-12,1431.61,available,Chennai,earned,no,223,34.93,5,201.4,0,1,2,0,0.0
CP0057,U0476,CAT01,B003,percentage,75.3,299,2023-02-10,2023-05-29,3004.56,expired,Vadodara,earned,no,108,75.3,2,123.5,1,1,0,0,0.5
CP0058,U0270,CAT08,B029,percentage,10.5,199,2024-12-25,2025-07-05,4787.09,claimed,Visakhapatnam,purchased,no,192,10.5,5,200.0,1,1,0,0,0.2
CP0059,U0185,CAT02,B007,percentage,21.0,299,2023-12-06,2024-06-22,1131.3,expired,Visakhapatnam,gifted,yes,199,21.0,2,71.0,0,1,0,0,0.0
CP0060,U0125,CAT02,B007,percentage,72.8,0,2024-09-20,2025-09-03,3428.63,available,Hyderabad,gifted,no,348,72.8,1,194.0,0,1,1,0,0.0
CP0061,U0152,CAT01,B003,percentage,43.2,1499,2024-05-13,2024-07-04,1002.94,claimed,Hyderabad,purchased,yes,52,43.2,1,255.0,2,1,1,0,2.0
CP0062,U0428,CAT02,B006,flat,150.0,0,2024-12-02,2025-08-06,1067.62,expired,Bhopal,earned,yes,247,14.05,3,64.33,2,0,0,0,0.6667
CP0063,U0028,CAT03,B009,percentage,29.9,199,2023-03-31,2023-06-06,3981.36,claimed,Patna,earned,no,67,29.9,0,0.0,0,0,0,0,0.0
CP0064,U0200,CAT07,B025,percentage,35.3,1499,2023-11-20,2023-12-28,635.61,available,Vadodara,purchased,yes,38,35.3,4,216.0,0,0,0,0,0.0
CP0065,U0311,CAT02,B007,flat,75.0,0,2023-10-24,2024-04-25,1443.51,swapped,Chandigarh,gifted,yes,184,5.2,3,234.33,0,0,1,0,0.0
CP0066,U0152,CAT08,B027,percentage,15.2,1499,2024-02-05,2024-12-10,763.17,expired,Kochi,referral,yes,309,15.2,1,160.0,0,0,0,0,0.0
CP0067,U0202,CAT09,B032,percentage,8.1,999,2024-08-09,2025-07-10,2760.25,available,Kolkata,earned,no,335,8.1,1,215.0,0,1,0,0,0.0
CP0068,U0095,CAT04,B016,flat,500.0,199,2023-05-26,2023-09-15,3103.58,available,Hyderabad,purchased,yes,112,16.11,1,69.0,1,0,0,2,1.0
CP0069,U0129,CAT09,B031,percentage,10.5,0,2024-11-18,2025-01-21,1027.22,claimed,Surat,gifted,yes,64,10.5,3,189.0,0,1,0,0,0.0
CP0070,U0231,CAT02,B007,percentage,72.5,299,2023-11-22,2024-08-26,3100.9,available,Patna,purchased,no,278,72.5,5,107.6,0,2,0,1,0.0
CP0071,U0224,CAT06,B022,percentage,28.5,299,2023-08-15,2024-08-07,4208.54,available,Surat,referral,no,358,28.5,1,17.0,0,2,0,1,0.0
CP0072,U0090,CAT08,B028,flat,400.0,1499,2024-07-18,2024-10-11,3052.81,expired,Ahmedabad,referral,yes,85,13.1,3,126.0,1,0,0,1,0.3333
CP0073,U0016,CAT05,B017,flat,50.0,1999,2024-06-03,2025-05-22,2930.36,available,Patna,purchased,yes,353,1.71,6,201.33,0,1,1,0,0.0
CP0074,U0397,CAT09,B031,percentage,79.9,199,2024-04-28,2025-04-27,1860.8,available,Patna,earned,no,364,79.9,1,91.0,0,0,1,1,0.0
CP0075,U0006,CAT03,B012,percentage,11.8,1499,2024-01-08,2024-10-21,1232.46,swapped,Vadodara,earned,yes,287,11.8,2,243.5,1,1,0,0,0.5
CP0076,U0377,CAT08,B027,percentage,76.2,1499,2024-11-06,2025-02-18,2443.34,available,Pune,earned,yes,104,76.2,5,180.0,1,1,0,0,0.2
CP0077,U0465,CAT02,B007,percentage,8.2,1999,2023-07-31,2024-05-21,1838.19,claimed,Indore,referral,yes,295,8.2,2,230.0,0,0,0,0,0.0
CP0078,U0428,CAT06,B021,flat,500.0,1499,2024-10-10,2025-03-29,1353.41,claimed,Chennai,gifted,no,170,36.94,3,219.0,0,2,0,0,0.0
CP0079,U0193,CAT06,B023,flat,75.0,199,2024-06-13,2024-11-18,2606.04,available,Kochi,gifted,no,158,2.88,1,233.0,1,0,0,0,1.0
CP0080,U0040,CAT10,B033,percentage,15.4,999,2023-06-19,2023-11-13,3235.21,available,Chennai,purchased,yes,147,15.4,1,135.0,0,0,0,0,0.0
CP0081,U0246,CAT04,B016,flat,75.0,199,2024-05-08,2025-02-07,2974.41,claimed,Bhopal,purchased,yes,275,2.52,4,230.5,0,0,0,0,0.0
CP0082,U0029,CAT03,B010,percentage,43.4,199,2024-08-09,2024-11-22,1328.39,available,Chandigarh,earned,yes,105,43.4,2,65.5,0,1,0,0,0.0
CP0083,U0088,CAT05,B017,percentage,50.5,199,2024-04-27,2025-01-28,4160.3,claimed,Patna,earned,yes,276,50.5,2,81.5,1,1,0,0,0.5
CP0084,U0303,CAT10,B035,percentage,56.4,0,2024-04-09,2025-03-10,1187.58,available,Hyderabad,purchased,no,335,56.4,1,27.0,2,1,1,0,2.0
CP0085,U0450,CAT03,B009,percentage,72.6,1999,2024-09-06,2024-10-25,2680.58,expired,Bengaluru,gifted,yes,49,72.6,3,170.33,1,1,0,0,0.3333
CP0086,U0190,CAT10,B033,flat,300.0,1999,2024-06-18,2025-02-18,265.02,claimed,Pune,referral,no,245,113.2,6,176.5,3,0,0,1,0.5
CP0087,U0051,CAT07,B025,percentage,60.6,499,2024-12-14,2025-11-03,712.72,claimed,Pune,referral,yes,324,60.6,1,128.0,2,0,0,0,2.0
CP0088,U0268,CAT05,B020,percentage,5.4,0,2023-01-08,2023-11-29,2622.82,available,Kolkata,earned,no,325,5.4,4,201.0,1,0,0,0,0.25
CP0089,U0134,CAT07,B025,percentage,37.0,1999,2024-08-22,2025-01-28,2703.72,claimed,Vadodara,purchased,no,159,37.0,0,0.0,1,1,0,0,0.0
CP0090,U0287,CAT04,B016,percentage,46.8,999,2023-07-03,2024-02-07,2444.61,swapped,Patna,gifted,no,219,46.8,2,151.0,2,0,0,0,1.0
CP0091,U0052,CAT03,B009,flat,400.0,199,2024-12-17,2025-04-08,2566.3,expired,Coimbatore,earned,yes,112,15.59,4,108.0,0,1,0,0,0.0
CP0092,U0242,CAT03,B012,flat,50.0,999,2023-04-04,2023-07-17,2205.12,available,Pune,gifted,yes,104,2.27,2,79.0,0,0,0,0,0.0
CP0093,U0030,CAT07,B025,percentage,44.1,1999,2024-12-29,2025-11-29,4110.13,claimed,Indore,purchased,no,335,44.1,1,238.0,0,0,0,0,0.0
CP0094,U0315,CAT04,B013,flat,500.0,199,2024-06-12,2024-11-07,3386.42,available,Mumbai,referral,yes,148,14.76,1,219.0,1,0,0,0,1.0
CP0095,U0266,CAT05,B020,percentage,34.6,0,2024-08-23,2025-01-02,3697.78,available,Bengaluru,gifted,no,132,34.6,3,185.33,0,1,1,0,0.0
CP0096,U0295,CAT06,B022,percentage,77.2,0,2024-04-10,2024-12-02,1342.48,available,Hyderabad,earned,no,236,77.2,1,284.0,0,1,0,4,0.0
CP0097,U0129,CAT06,B021,flat,200.0,1499,2024-07-04,2025-05-24,2241.7,available,Nagpur,earned,no,324,8.92,1,14.0,0,1,0,0,0.0
CP0098,U0060,CAT08,B029,percentage,49.0,299,2023-01-29,2023-11-01,384.39,claimed,Pune,earned,yes,276,49.0,2,258.0,1,0,0,0,0.5
CP0099,U0359,CAT06,B022,flat,500.0,1999,2024-07-02,2024-08-05,1353.58,available,Chandigarh,earned,no,34,36.94,3,100.67,0,0,0,0,0.0
CP0100,U0094,CAT02,B006,percentage,31.5,1499,2024-08-10,2025-01-24,3431.38,swapped,Nagpur,earned,yes,167,31.5,3,146.33,0,1,0,0,0.0
CP0101,U0183,CAT04,B015,percentage,20.2,199,2023-09-13,2024-08-24,3905.75,available,Bengaluru,earned,no,346,20.2,3,111.33,0,0,0,0,0.0
CP0102,U0191,CAT10,B033,flat,500.0,999,2023-02-13,2023-11-16,1611.31,swapped,Patna,referral,no,276,31.03,0,0.0,1,0,0,0,0.0
CP0103,U0270,CAT03,B011,percentage,61.3,1999,2023-05-12,2023-07-08,2144.72,swapped,Delhi,gifted,no,57,61.3,1,201.0,0,0,0,0,0.0
CP0104,U0353,CAT03,B012,flat,500.0,0,2024-04-16,2024-10-24,108.51,available,Patna,purchased,no,191,460.79,0,0.0,0,0,0,0,0.0
CP0105,U0491,CAT10,B035,percentage,24.7,999,2023-10-03,2024-06-30,1748.33,available,Bhopal,purchased,no,271,24.7,1,245.0,0,1,0,0,0.0
CP0106,U0352,CAT06,B022,percentage,18.5,199,2023-05-15,2024-04-03,4080.24,expired,Pune,earned,no,324,18.5,4,137.0,0,0,1,1,0.0
CP0107,U0091,CAT04,B014,flat,100.0,499,2024-04-29,2024-06-02,2523.01,swapped,Visakhapatnam,gifted,no,34,3.96,4,191.0,0,0,0,0,0.0
CP0108,U0051,CAT08,B028,percentage,69.4,1499,2023-02-18,2023-10-09,858.54,available,Jaipur,gifted,yes,233,69.4,3,251.67,1,0,0,1,0.3333
CP0109,U0478,CAT08,B029,percentage,32.1,1999,2024-07-27,2025-06-07,1325.69,available,Hyderabad,gifted,yes,315,32.1,1,84.0,0,0,0,0,0.0
CP0110,U0345,CAT10,B034,flat,200.0,999,2023-12-30,2024-07-13,2463.09,expired,Bengaluru,gifted,no,196,8.12,1,71.0,0,0,0,0,0.0
CP0111,U0216,CAT08,B029,flat,100.0,1499,2024-10-17,2025-05-07,3080.94,available,Bengaluru,purchased,no,202,3.25,0,0.0,1,1,1,0,0.0
CP0112,U0331,CAT04,B015,percentage,26.9,499,2023-10-01,2024-09-04,1392.68,available,Kochi,earned,no,339,26.9,4,100.5,0,0,0,0,0.0
CP0113,U0482,CAT07,B024,percentage,6.7,1499,2023-08-29,2024-02-03,3518.45,available,Chennai,gifted,yes,158,6.7,0,0.0,1,0,0,1,0.0
CP0114,U0392,CAT02,B008,percentage,7.0,0,2024-02-11,2024-12-05,564.45,claimed,Bengaluru,earned,no,298,7.0,2,150.0,0,0,1,0,0.0
CP0115,U0068,CAT05,B018,percentage,26.3,999,2024-10-03,2025-01-05,4200.66,available,Kochi,referral,no,94,26.3,2,157.0,0,1,0,0,0.0
CP0116,U0228,CAT08,B028,flat,500.0,199,2023-10-06,2024-08-11,4849.23,expired,Chennai,earned,no,310,10.31,2,176.0,0,1,0,2,0.0
CP0117,U0247,CAT10,B036,percentage,53.0,999,2023-11-14,2024-06-08,1174.29,available,Lucknow,gifted,no,207,53.0,0,0.0,1,0,0,0,0.0
CP0118,U0147,CAT03,B011,percentage,44.2,499,2023-05-20,2023-12-12,2698.74,expired,Nagpur,referral,no,206,44.2,2,214.0,0,0,1,0,0.0
CP0119,U0408,CAT05,B017,flat,200.0,0,2024-09-03,2025-01-29,2763.65,available,Coimbatore,gifted,yes,148,7.24,0,0.0,2,0,0,0,0.0
CP0120,U0217,CAT03,B012,flat,150.0,1499,2023-09-27,2023-12-06,1235.83,expired,Vadodara,earned,no,70,12.14,1,121.0,0,2,0,0,0.0
CP0121,U0149,CAT05,B019,percentage,69.0,0,2023-07-06,2023-10-13,3202.62,claimed,Jaipur,earned,no,99,69.0,3,119.0,0,1,0,0,0.0
CP0122,U0096,CAT04,B015,percentage,8.7,0,2024-07-01,2024-08-11,1446.47,available,Indore,earned,yes,41,8.7,2,224.5,0,0,0,0,0.0
CP0123,U0403,CAT02,B006,percentage,21.3,1999,2024-03-06,2024-09-11,2517.06,available,Delhi,gifted,yes,189,21.3,3,195.33,0,0,0,0,0.0
CP0124,U0093,CAT01,B003,flat,75.0,199,2024-07-10,2025-04-06,4483.71,available,Chandigarh,earned,yes,270,1.67,2,137.5,0,1,0,0,0.0
CP0125,U0102,CAT04,B016,flat,400.0,499,2023-09-11,2023-10-28,3689.85,available,Kolkata,gifted,no,47,10.84,2,147.5,1,0,0,0,0.5
CP0126,U0063,CAT06,B021,percentage,8.2,299,2024-07-16,2025-05-08,2432.09,available,Kochi,referral,yes,296,8.2,0,0.0,1,0,1,0,0.0
CP0127,U0300,CAT02,B006,percentage,29.3,0,2023-06-21,2023-12-09,2009.25,available,Delhi,earned,no,171,29.3,1,172.0,0,1,0,0,0.0
CP0128,U0047,CAT10,B034,percentage,11.7,1499,2023-06-11,2024-03-22,3112.29,swapped,Delhi,purchased,yes,285,11.7,1,40.0,0,0,1,0,0.0
CP0129,U0388,CAT09,B030,percentage,22.5,299,2024-07-25,2025-07-20,4037.35,available,Kolkata,purchased,no,360,22.5,3,174.33,0,0,0,0,0.0
CP0130,U0287,CAT06,B023,percentage,72.4,299,2024-05-11,2025-01-20,2736.53,claimed,Patna,purchased,no,254,72.4,1,203.0,1,0,2,0,1.0
CP0131,U0083,CAT06,B023,percentage,70.1,0,2024-09-05,2025-07-15,2679.13,available,Jaipur,gifted,no,313,70.1,3,85.0,1,0,1,0,0.3333
CP0132,U0398,CAT01,B004,flat,50.0,999,2024-09-26,2025-04-30,1231.99,expired,Coimbatore,earned,yes,216,4.06,1,124.0,2,2,1,0,2.0
CP0133,U0166,CAT09,B032,percentage,46.4,499,2024-09-19,2025-03-12,3222.47,available,Visakhapatnam,earned,yes,174,46.4,3,92.0,0,0,0,0,0.0
CP0134,U0099,CAT03,B010,flat,150.0,0,2023-04-20,2024-01-23,207.49,claimed,Chandigarh,earned,no,278,72.29,0,0.0,0,1,0,0,0.0
CP0135,U0336,CAT01,B003,percentage,58.8,499,2023-01-14,2023-05-30,4645.6,expired,Indore,earned,yes,136,58.8,0,0.0,0,0,0,0,0.0
CP0136,U0422,CAT06,B023,flat,300.0,999,2024-01-13,2024-03-12,1365.79,available,Bengaluru,earned,yes,59,21.97,2,128.5,1,0,1,0,0.5
CP0137,U0099,CAT04,B013,percentage,22.3,999,2024-01-30,2024-06-05,3301.54,claimed,Chennai,earned,no,127,22.3,1,280.0,2,0,0,0,2.0
CP0138,U0406,CAT02,B007,flat,300.0,199,2023-04-17,2023-08-10,2772.33,claimed,Chennai,gifted,no,115,10.82,4,96.75,0,0,0,1,0.0
CP0139,U0392,CAT06,B022,percentage,79.8,1499,2024-01-16,2024-09-13,2181.41,expired,Vadodara,purchased,yes,241,79.8,2,111.5,1,0,0,0,0.5
CP0140,U0230,CAT07,B026,flat,200.0,499,2024-01-04,2024-09-21,50.97,available,Lucknow,earned,yes,261,392.39,2,57.0,0,0,0,0,0.0
CP0141,U0396,CAT05,B017,percentage,21.6,1999,2023-11-19,2023-12-30,4719.57,expired,Coimbatore,gifted,yes,41,21.6,2,169.0,0,0,1,0,0.0
CP0142,U0456,CAT02,B005,percentage,16.7,999,2023-09-29,2024-05-03,1286.79,available,Lucknow,purchased,no,217,16.7,1,24.0,0,0,0,0,0.0
CP0143,U0250,CAT10,B034,flat,250.0,1999,2024-05-09,2024-09-04,4500.17,expired,Hyderabad,earned,no,118,5.56,2,192.5,2,1,0,0,1.0
CP0144,U0451,CAT01,B004,percentage,9.2,1999,2023-12-09,2024-07-04,2199.81,swapped,Hyderabad,referral,yes,208,9.2,2,146.5,1,2,2,0,0.5
CP0145,U0269,CAT10,B033,percentage,52.4,0,2023-02-25,2023-08-30,1630.62,claimed,Surat,gifted,yes,186,52.4,2,185.0,0,1,0,0,0.0
CP0146,U0295,CAT03,B009,flat,300.0,999,2024-04-01,2025-03-01,495.91,available,Chandigarh,purchased,no,334,60.49,2,148.0,0,2,1,0,0.0
CP0147,U0044,CAT02,B008,percentage,8.7,499,2024-02-13,2024-07-26,2534.02,expired,Ahmedabad,earned,no,164,8.7,4,43.75,2,1,0,0,0.5
CP0148,U0316,CAT09,B030,percentage,53.9,1499,2023-07-20,2024-06-01,2645.03,available,Jaipur,earned,no,317,53.9,3,179.33,0,0,0,0,0.0
CP0149,U0098,CAT10,B033,percentage,36.0,299,2024-01-10,2024-08-05,1755.4,expired,Lucknow,purchased,no,208,36.0,1,169.0,0,0,0,0,0.0
CP0150,U0351,CAT10,B036,percentage,38.0,299,2023-08-28,2024-01-07,822.16,expired,Bengaluru,purchased,yes,132,38.0,0,0.0,0,0,0,0,0.0
CP0151,U0356,CAT04,B014,flat,200.0,1999,2023-01-15,2023-08-08,600.83,claimed,Mumbai,gifted,yes,205,33.29,0,0.0,1,0,0,0,0.0
CP0152,U0193,CAT04,B015,percentage,51.7,999,2023-05-25,2023-07-03,4534.9,claimed,Jaipur,purchased,no,39,51.7,1,267.0,0,1,1,0,0.0
CP0153,U0199,CAT04,B015,percentage,54.1,1499,2023-01-09,2023-03-14,1392.99,swapped,Kochi,referral,yes,64,54.1,1,125.0,3,0,0,0,3.0
CP0154,U0463,CAT05,B020,percentage,33.6,299,2024-12-27,2025-03-17,2449.08,claimed,Bengaluru,purchased,no,80,33.6,2,163.0,1,0,0,0,0.5
CP0155,U0171,CAT09,B032,percentage,23.6,499,2024-06-26,2024-12-29,1997.33,available,Kochi,earned,no,186,23.6,3,195.67,0,0,0,0,0.0
CP0156,U0321,CAT05,B018,flat,500.0,299,2023-10-10,2023-12-10,4399.45,swapped,Mumbai,referral,no,61,11.37,1,203.0,0,0,1,1,0.0
CP0157,U0374,CAT04,B014,percentage,34.5,499,2023-05-21,2023-08-03,2627.55,expired,Pune,gifted,yes,74,34.5,2,34.5,1,0,0,0,0.5
CP0158,U0068,CAT07,B025,flat,250.0,199,2024-04-04,2025-02-05,3279.74,claimed,Kolkata,referral,no,307,7.62,0,0.0,0,0,0,0,0.0
CP0159,U0478,CAT09,B030,percentage,73.2,999,2023-05-29,2024-05-28,4589.7,available,Coimbatore,gifted,yes,365,73.2,1,60.0,1,0,0,0,1.0
CP0160,U0451,CAT03,B011,flat,100.0,499,2023-01-31,2023-08-12,4807.92,available,Jaipur,purchased,yes,193,2.08,1,249.0,0,0,1,0,0.0
CP0161,U0137,CAT02,B006,percentage,62.2,999,2024-09-18,2025-08-29,2856.86,available,Pune,purchased,yes,345,62.2,2,170.0,2,0,1,1,1.0
CP0162,U0434,CAT06,B021,flat,400.0,999,2023-05-18,2024-02-29,2370.38,claimed,Chennai,referral,no,287,16.87,1,238.0,0,0,1,0,0.0
