user_id,age,gender,city,state,account_created_date,preferred_discount_min,preferred_discount_max,activity_level,preferred_discount_range,total_views_count,avg_view_duration,total_requests_count,accepted_requests_count,total_usage_count,swaps_proposed_count,swaps_received_count,avg_rating_received,ratings_count,total_preferences_count,swaps_completed_count
U0042,22,Male,Surat,Gujarat,2022-07-24,24,63,low,39,12,184.92,3,2,2,0,0,0.0,0,1,0
U0043,26,Female,Jaipur,Rajasthan,2022-05-21,18,60,high,42,8,90.62,7,1,1,1,2,4.0,2,1,3
U0044,46,Female,Chennai,Tamil Nadu,2023-09-12,28,56,medium,28,14,154.64,2,0,0,2,1,0.0,0,2,2
U0045,37,Female,Coimbatore,Tamil Nadu,2022-08-01,38,48,high,10,8,162.25,3,1,2,1,1,0.0,0,2,0
U0046,24,Female,Hyderabad,Telangana,2022-11-15,13,39,medium,26,18,132.44,1,1,1,1,0,3.0,1,3,1
U0047,61,Female,Kolkata,West Bengal,2023-06-25,18,49,medium,31,6,154.33,1,0,3,1,0,0.0,0,3,0
U0048,58,Male,Bengaluru,Karnataka,2023-07-21,21,34,low,13,8,152.62,3,0,1,2,2,3.5,2,2,2
U0049,28,Female,Jaipur,Rajasthan,2024-05-25,26,44,medium,18,7,132.57,6,2,1,0,0,0.0,0,1,0
U0050,52,Male,Ahmedabad,Gujarat,2024-01-27,12,26,medium,14,15,142.67,3,1,4,0,2,2.0,1,2,1
U0051,20,Male,Ahmedabad,Gujarat,2022-03-23,14,51,high,37,11,195.36,3,1,3,0,3,0.0,0,3,0
U0052,40,Female,Hyderabad,Telangana,2024-04-12,18,43,high,25,12,151.42,7,2,2,0,0,0.0,0,2,0
U0053,29,Female,Chennai,Tamil Nadu,2022-02-20,14,39,low,25,17,142.12,3,0,0,2,0,1.0,1,2,2
U0054,35,Male,Pune,Maharashtra,2022-08-10,26,62,medium,36,11,147.18,3,1,1,1,2,4.0,1,2,2
U0055,30,Female,Pune,Maharashtra,2024-07-31,7,47,medium,40,9,156.0,0,0,1,1,1,0.0,0,4,1
U0056,60,Male,Mumbai,Maharashtra,2023-11-04,19,43,medium,24,14,154.64,3,1,2,1,0,0.0,0,2,0
U0057,59,Female,Kochi,Kerala,2023-11-10,9,36,high,27,8,188.12,3,2,2,2,3,4.0,1,2,2
U0058,55,Other,Chennai,Tamil Nadu,2023-06-28,12,38,low,26,13,181.77,2,1,2,0,2,0.0,0,2,0
U0059,45,Female,Surat,Gujarat,2024-11-13,32,64,low,32,10,125.7,4,0,2,1,2,2.0,2,2,2
U0060,63,Male,Delhi,Delhi,2024-11-30,17,43,high,26,13,124.38,3,1,2,0,0,0.0,0,4,0
U0061,45,Male,Kochi,Kerala,2023-11-08,39,61,medium,22,4,111.25,1,0,3,0,1,1.0,1,1,1
U0062,37,Female,Visakhapatnam,Andhra Pradesh,2023-10-31,12,41,medium,29,7,138.43,1,0,1,0,1,3.0,1,3,1
U0063,30,Male,Ahmedabad,Gujarat,2024-02-16,23,68,medium,45,10,159.1,6,2,3,1,0,1.0,1,1,1
U0064,37,Male,Patna,Bihar,2022-01-01,16,65,medium,49,10,183.4,2,1,1,1,2,3.0,2,3,2
U0065,56,Female,Patna,Bihar,2024-08-10,18,55,medium,37,8,214.38,5,2,2,1,0,0.0,0,4,0
U0066,65,Male,Nagpur,Maharashtra,2022-06-23,18,60,medium,42,15,153.47,2,0,5,1,2,1.5,2,3,2
U0067,61,Male,Pune,Maharashtra,2023-02-12,26,41,low,15,9,168.67,4,2,3,2,1,0.0,0,3,0
U0068,57,Female,Nagpur,Maharashtra,2022-05-30,7,32,medium,25,9,162.89,2,0,0,2,1,5.0,1,3,1
U0069,43,Male,Nagpur,Maharashtra,2022-01-12,17,51,high,34,12,126.08,0,0,2,4,1,4.5,2,4,2
U0070,29,Female,Pune,Maharashtra,2024-11-26,11,48,medium,37,16,145.88,3,0,3,0,0,0.0,0,1,0
U0071,47,Male,Hyderabad,Telangana,2024-08-09,40,65,medium,25,7,151.29,3,0,2,0,0,0.0,0,3,0
U0072,46,Female,Surat,Gujarat,2024-10-30,40,88,medium,48,6,146.33,3,0,1,0,0,0.0,0,1,0
U0073,65,Female,Chennai,Tamil Nadu,2024-07-10,40,78,medium,38,10,184.4,3,3,4,2,1,0.0,0,2,1
U0074,51,Female,Jaipur,Rajasthan,2023-05-05,20,70,medium,50,8,119.5,2,1,2,2,1,5.0,1,1,1
U0075,35,Male,Pune,Maharashtra,2022-06-15,9,37,low,28,7,189.71,3,1,3,1,1,1.0,2,4,2
U0076,63,Male,Ahmedabad,Gujarat,2024-04-29,19,53,medium,34,6,108.33,3,0,5,0,0,0.0,0,4,0
U0077,21,Male,Bhopal,Madhya Pradesh,2024-05-10,39,78,medium,39,10,122.4,3,1,1,1,0,0.0,0,3,0
U0078,48,Male,Chandigarh,Punjab,2023-12-22,6,52,medium,46,7,139.71,3,2,1,0,0,0.0,0,1,0
U0079,65,Female,Coimbatore,Tamil Nadu,2023-03-28,29,65,medium,36,8,118.5,3,1,2,0,2,4.0,2,4,2
U0080,19,Male,Nagpur,Maharashtra,2024-04-08,22,59,medium,37,10,131.4,2,0,2,1,1,5.0,1,2,1
U0081,52,Male,Vadodara,Gujarat,2024-03-17,34,52,medium,18,8,181.25,3,1,1,0,1,0.0,0,3,0
U0082,26,Female,Bhopal,Madhya Pradesh,2023-01-08,6,21,low,15,9,168.11,5,2,0,1,2,0.0,0,2,0
U0083,47,Male,Kolkata,West Bengal,2024-02-16,29,59,medium,30,5,135.0,3,0,0,2,3,3.67,3,1,3
U0084,48,Male,Bengaluru,Karnataka,2022-04-17,31,57,high,26,13,169.38,1,0,0,0,3,3.0,1,1,1
U0085,59,Male,Bengaluru,Karnataka,2022-03-05,27,51,high,24,12,137.17,2,0,4,2,2,1.0,1,1,1
U0086,27,Male,Vadodara,Gujarat,2024-08-27,17,28,medium,11,9,168.33,3,1,0,1,2,0.0,0,2,0
U0087,41,Male,Jaipur,Rajasthan,2022-08-23,18,57,high,39,10,222.4,3,1,2,0,2,3.5,2,4,2
U0088,55,Male,Hyderabad,Telangana,2023-10-01,15,44,medium,29,10,146.0,4,2,2,1,1,2.0,2,4,2
U0089,22,Female,Kolkata,West Bengal,2023-05-13,29,64,low,35,10,134.8,2,0,4,3,3,2.0,1,3,3
U0090,54,Female,Hyderabad,Telangana,2023-12-13,24,72,medium,48,7,220.86,6,0,4,1,0,0.0,0,2,0
U0091,59,Male,Visakhapatnam,Andhra Pradesh,2024-05-10,28,42,high,14,7,159.86,6,1,1,0,1,0.0,0,2,0
U0092,58,Female,Kochi,Kerala,2024-07-30,11,48,medium,37,14,139.0,2,0,3,2,0,1.0,1,3,1
U0093,59,Male,Visakhapatnam,Andhra Pradesh,2024-09-17,32,53,medium,21,9,136.89,3,0,2,1,0,1.0,1,4,1
U0094,23,Male,Pune,Maharashtra,2024-07-12,22,52,low,30,8,103.0,3,0,4,2,2,0.0,0,4,2
U0095,60,Male,Vadodara,Gujarat,2022-02-28,34,80,medium,46,14,106.64,5,2,2,1,1,2.5,2,4,2
U0096,31,Male,Nagpur,Maharashtra,2023-06-14,25,46,medium,21,11,128.27,3,2,2,2,0,4.0,1,3,1
U0097,51,Female,Mumbai,Maharashtra,2022-06-25,22,67,low,45,16,145.75,4,1,2,0,1,3.0,1,3,1
U0098,33,Female,Coimbatore,Tamil Nadu,2024-10-02,31,72,medium,41,8,180.88,5,0,3,0,1,0.0,0,1,0
U0099,32,Male,Lucknow,Uttar Pradesh,2023-05-14,6,21,medium,15,8,154.62,3,0,3,0,1,4.0,1,2,1
U0100,51,Male,Coimbatore,Tamil Nadu,2023-11-09,28,68,medium,40,8,142.0,1,1,0,1,2,3.0,1,4,1
U0101,34,Male,Lucknow,Uttar Pradesh,2023-01-30,34,61,medium,27,7,182.29,4,0,0,0,4,4.0,3,4,3
U0102,31,Female,Kolkata,West Bengal,2023-07-21,39,60,medium,21,10,132.0,2,2,2,2,1,0.0,0,4,1
U0103,24,Female,Lucknow,Uttar Pradesh,2023-08-30,38,86,low,48,10,137.2,2,2,3,3,0,0.0,0,4,0
U0104,63,Female,Mumbai,Maharashtra,2023-07-16,16,45,low,29,9,150.22,4,1,3,1,1,4.0,1,4,1
U0105,62,Female,Lucknow,Uttar Pradesh,2024-10-02,8,53,low,45,8,162.5,3,0,2,1,2,4.0,1,2,1
U0106,48,Male,Lucknow,Uttar Pradesh,2023-11-29,5,51,low,46,8,145.0,2,1,4,0,0,0.0,0,2,0
U0107,25,Female,Nagpur,Maharashtra,2024-03-31,8,34,medium,26,11,126.0,3,1,1,1,1,2.0,1,3,1
U0108,54,Female,Ahmedabad,Gujarat,2022-06-24,8,27,high,19,11,152.18,4,1,1,0,0,0.0,0,4,0
U0109,56,Female,Bhopal,Madhya Pradesh,2023-04-08,12,57,high,45,9,136.33,0,0,0,0,0,0.0,0,3,0
U0110,37,Female,Indore,Madhya Pradesh,2024-05-28,29,67,medium,38,15,146.67,0,0,7,3,2,4.0,1,3,2
U0111,31,Female,Hyderabad,Telangana,2023-06-26,8,57,medium,49,11,174.82,2,1,1,0,1,0.0,0,1,0
U0112,53,Male,Chennai,Tamil Nadu,2022-01-06,15,40,medium,25,17,154.41,1,1,1,1,1,0.0,0,4,1
U0113,32,Male,Delhi,Delhi,2023-08-03,35,63,medium,28,5,144.2,5,3,2,0,1,2.0,1,3,1
U0114,34,Female,Pune,Maharashtra,2023-02-10,34,48,medium,14,5,166.8,2,1,0,2,1,2.0,2,1,2
U0115,35,Female,Ahmedabad,Gujarat,2022-05-27,39,63,low,24,9,105.78,3,1,1,1,1,2.0,2,3,2
U0116,36,Male,Patna,Bihar,2024-08-17,24,72,medium,48,7,181.0,4,1,1,0,1,0.0,0,3,0
U0117,52,Female,Visakhapatnam,Andhra Pradesh,2022-06-14,30,57,medium,27,7,173.86,5,4,3,2,3,1.0,1,4,1
U0118,34,Male,Vadodara,Gujarat,2023-04-14,32,62,high,30,3,216.33,2,1,0,2,2,3.33,3,2,3
U0119,20,Female,Patna,Bihar,2022-12-25,6,33,medium,27,8,141.62,3,0,0,2,0,3.5,2,1,2
U0120,55,Male,Chennai,Tamil Nadu,2024-10-04,33,60,high,27,5,105.6,4,3,1,2,1,2.0,1,1,1
U0121,39,Male,Bhopal,Madhya Pradesh,2022-08-03,35,67,high,32,15,168.4,3,2,3,3,1,1.0,1,4,1
U0122,36,Female,Nagpur,Maharashtra,2024-03-31,26,62,high,36,10,136.5,3,1,2,0,2,5.0,1,3,1
U0123,23,Male,Indore,Madhya Pradesh,2023-10-25,40,52,low,12,11,142.0,2,0,2,0,1,0.0,0,1,1
U0124,60,Female,Mumbai,Maharashtra,2024-08-04,30,72,medium,42,8,143.38,1,0,4,0,2,1.5,2,4,2
U0125,57,Female,Kochi,Kerala,2024-06-24,17,60,high,43,11,198.0,2,0,0,0,1,1.0,1,2,1
U0126,26,Female,Coimbatore,Tamil Nadu,2024-06-16,18,45,high,27,7,136.14,3,0,1,2,2,4.0,1,3,2
U0127,58,Female,Mumbai,Maharashtra,2023-05-06,36,53,medium,17,13,173.46,1,0,1,0,0,0.0,0,1,0
U0128,53,Male,Mumbai,Maharashtra,2023-04-06,24,69,high,45,11,128.09,3,1,4,1,0,3.0,1,1,1
U0129,59,Female,Hyderabad,Telangana,2024-10-17,12,51,high,39,12,166.25,2,1,1,0,0,0.0,0,4,0
U0130,44,Female,Jaipur,Rajasthan,2024-08-25,23,65,low,42,8,198.38,5,2,2,4,0,0.0,0,4,1
U0131,30,Female,Chandigarh,Punjab,2024-11-06,40,59,medium,19,8,164.38,3,1,2,0,0,0.0,0,1,0
U0132,44,Male,Jaipur,Rajasthan,2024-11-05,13,27,medium,14,16,149.56,1,0,2,0,1,3.0,1,3,1
U0133,55,Female,Lucknow,Uttar Pradesh,2024-09-29,5,33,high,28,4,177.75,5,3,2,0,0,0.0,0,4,0
U0134,40,Male,Nagpur,Maharashtra,2024-02-12,33,77,medium,44,18,116.22,4,0,2,1,1,4.0,2,3,2
U0135,54,Male,Pune,Maharashtra,2024-04-21,25,47,low,22,14,158.93,4,1,5,0,1,0.0,0,4,0
U0136,60,Female,Chandigarh,Punjab,2022-11-08,35,69,medium,34,11,173.91,7,4,2,0,2,4.0,1,4,1
U0137,55,Male,Visakhapatnam,Andhra Pradesh,2022-07-25,7,25,high,18,8,159.62,1,0,3,1,0,0.0,0,2,0
U0138,47,Male,Visakhapatnam,Andhra Pradesh,2022-10-23,33,49,medium,16,5,155.6,2,0,2,0,1,0.0,0,2,0
U0139,34,Male,Nagpur,Maharashtra,2024-03-25,14,28,medium,14,14,123.36,4,2,3,4,3,3.5,2,4,4
U0140,38,Female,Chandigarh,Punjab,2024-09-26,26,70,high,44,7,136.71,3,0,5,3,0,0.0,0,2,1
U0141,33,Female,Bengaluru,Karnataka,2023-08-12,7,56,high,49,10,131.4,1,0,1,1,2,3.0,2,4,2
U0142,58,Female,Hyderabad,Telangana,2022-07-25,10,47,medium,37,5,116.2,0,0,1,0,0,0.0,0,1,0
U0143,38,Female,Delhi,Delhi,2023-08-24,24,35,medium,11,16,165.38,1,0,1,2,1,3.0,2,1,2
U0144,51,Male,Pune,Maharashtra,2023-01-04,32,51,low,19,15,132.2,3,1,2,0,0,0.0,0,3,0
U0145,57,Female,Chandigarh,Punjab,2024-10-16,10,59,high,49,11,141.55,1,0,3,1,0,0.0,0,3,1
U0146,58,Male,Indore,Madhya Pradesh,2023-06-07,14,38,medium,24,11,157.18,4,0,2,1,0,0.0,0,2,0
U0147,28,Male,Coimbatore,Tamil Nadu,2023-12-09,34,62,high,28,8,139.38,4,0,0,3,0,0.0,0,4,0
U0148,62,Male,Bhopal,Madhya Pradesh,2023-09-11,24,74,low,50,16,156.62,1,1,1,0,1,1.0,1,4,1
U0149,33,Male,Hyderabad,Telangana,2024-01-06,29,69,medium,40,8,129.38,3,0,3,1,0,4.0,1,2,1
U0150,35,Male,Chandigarh,Punjab,2022-04-11,23,34,high,11,9,168.11,6,1,3,1,1,0.0,0,4,0
U0151,56,Female,Pune,Maharashtra,2023-03-25,36,64,medium,28,13,166.69,0,0,2,0,0,0.0,0,1,0
U0152,58,Female,Hyderabad,Telangana,2023-09-25,21,39,high,18,8,115.5,2,2,1,2,0,0.0,0,2,0
U0153,64,Male,Kochi,Kerala,2023-08-28,7,54,medium,47,8,180.38,3,1,4,1,1,1.0,1,3,1
U0154,26,Female,Kolkata,West Bengal,2024-01-20,31,52,medium,21,9,126.22,2,2,2,0,2,2.0,2,4,2
U0155,48,Other,Jaipur,Rajasthan,2023-08-28,22,42,medium,20,7,141.57,4,2,2,0,0,0.0,0,3,0
U0156,22,Male,Indore,Madhya Pradesh,2023-04-08,26,43,high,17,9,174.0,3,1,0,0,1,4.0,1,3,1
U0157,23,Female,Kochi,Kerala,2022-01-29,30,75,medium,45,8,169.62,4,1,1,3,1,0.0,0,1,1
U0158,61,Female,Kochi,Kerala,2023-06-21,12,51,medium,39,7,157.86,2,0,0,0,1,2.0,1,4,1
U0159,48,Male,Pune,Maharashtra,2023-11-03,28,44,high,16,11,139.36,1,0,1,2,5,3.67,3,4,4
U0160,62,Male,Indore,Madhya Pradesh,2024-04-16,19,33,low,14,12,171.17,7,1,3,1,1,1.5,2,4,2
U0161,49,Male,Lucknow,Uttar Pradesh,2023-04-26,7,19,high,12,10,145.4,2,1,1,1,2,3.5,2,2,2
U0162,41,Female,Indore,Madhya Pradesh,2024-05-08,13,47,medium,34,7,153.86,0,0,2,2,1,4.0,2,3,2
U0163,49,Female,Hyderabad,Telangana,2023-07-27,14,50,low,36,11,120.09,3,0,1,2,0,0.0,0,3,0
U0164,46,Female,Indore,Madhya Pradesh,2024-01-13,28,51,low,23,13,133.15,3,3,4,3,2,3.67,3,1,3
U0165,21,Male,Kochi,Kerala,2023-01-24,28,72,high,44,11,143.18,5,2,1,1,0,0.0,0,3,0
U0166,59,Female,Kolkata,West Bengal,2022-02-13,34,49,low,15,11,166.09,0,0,4,2,3,2.5,2,2,2
U0167,54,Male,Ahmedabad,Gujarat,2023-03-01,26,51,medium,25,15,119.4,4,1,3,0,0,0.0,0,3,0
U0168,56,Male,Ahmedabad,Gujarat,2022-10-24,19,50,high,31,11,140.27,2,1,1,0,1,0.0,0,1,0
U0169,25,Female,Chennai,Tamil Nadu,2022-02-22,39,65,low,26,12,141.08,4,2,0,2,2,1.0,2,4,2
U0170,38,Male,Patna,Bihar,2023-06-28,27,52,low,25,7,144.29,4,1,2,2,1,3.5,2,4,2
U0171,65,Male,Hyderabad,Telangana,2024-07-07,31,74,high,43,10,196.8,2,1,1,0,1,5.0,1,4,1
U0172,46,Female,Hyderabad,Telangana,2022-03-30,37,84,medium,47,11,141.64,5,1,1,2,0,0.0,0,1,0
U0173,59,Other,Indore,Madhya Pradesh,2022-05-05,38,67,high,29,12,199.25,2,0,4,1,1,0.0,0,4,0
U0174,49,Female,Hyderabad,Telangana,2024-06-27,30,67,low,37,15,125.73,1,0,2,0,0,0.0,0,2,0
U0175,27,Male,Vadodara,Gujarat,2023-07-18,10,40,medium,30,10,152.3,0,0,5,2,1,0.0,0,1,1
U0176,56,Female,Chandigarh,Punjab,2024-07-18,40,70,medium,30,9,145.78,7,1,0,1,0,0.0,0,1,1
U0177,59,Female,Hyderabad,Telangana,2023-03-17,32,48,medium,16,15,165.8,3,2,2,1,1,4.5,2,3,2
U0178,47,Male,Surat,Gujarat,2022-07-14,19,55,medium,36,8,209.62,3,1,2,1,3,3.33,3,1,3
U0179,27,Female,Kochi,Kerala,2024-08-29,25,51,low,26,13,141.15,2,0,2,1,1,0.0,0,3,0
U0180,24,Female,Bhopal,Madhya Pradesh,2024-02-03,10,25,high,15,6,190.17,2,1,5,0,0,0.0,0,4,0
U0181,53,Female,Patna,Bihar,2022-09-08,40,53,medium,13,7,173.86,5,2,1,0,1,2.0,1,2,1
U0182,56,Male,Lucknow,Uttar Pradesh,2022-08-01,32,45,medium,13,11,141.73,2,0,4,0,1,0.0,0,2,0
U0183,32,Female,Nagpur,Maharashtra,2023-12-19,18,37,high,19,12,192.75,1,1,1,2,0,0.0,0,2,1
U0184,54,Male,Jaipur,Rajasthan,2024-05-28,28,45,high,17,8,166.12,5,1,2,0,0,0.0,0,1,0
U0185,60,Female,Vadodara,Gujarat,2023-07-02,40,51,low,11,13,127.69,3,0,3,1,2,4.5,2,4,2
U0186,40,Male,Surat,Gujarat,2022-10-21,22,51,medium,29,8,136.25,2,0,4,2,0,0.0,0,1,1
U0187,65,Female,Ahmedabad,Gujarat,2022-03-04,30,44,low,14,5,135.0,3,0,0,2,3,3.25,4,4,4
U0188,44,Male,Chandigarh,Punjab,2022-11-19,38,61,medium,23,16,173.81,4,1,1,0,1,0.0,0,3,0
U0189,23,Female,Vadodara,Gujarat,2022-11-15,25,71,low,46,13,155.31,1,0,7,0,3,2.67,3,2,3
U0190,46,Female,Jaipur,Rajasthan,2024-09-21,8,23,medium,15,10,135.2,2,0,3,1,2,4.0,2,1,2
U0191,50,Male,Kolkata,West Bengal,2024-05-30,31,58,low,27,10,140.1,4,1,1,0,1,1.0,1,3,1
U0192,20,Male,Lucknow,Uttar Pradesh,2022-04-23,36,79,low,43,5,138.6,1,1,2,0,0,0.0,0,2,0
U0193,34,Male,Ahmedabad,Gujarat,2022-09-03,24,47,low,23,6,193.33,3,1,2,1,0,0.0,0,2,0
U0194,42,Female,Ahmedabad,Gujarat,2023-04-17,32,53,medium,21,9,188.11,2,0,0,3,2,3.0,3,3,3
U0195,65,Male,Chandigarh,Punjab,2022-02-08,27,41,medium,14,10,178.9,3,2,4,2,3,2.67,3,2,4
U0196,45,Female,Patna,Bihar,2024-05-05,9,39,medium,30,12,212.42,1,1,0,1,0,5.0,1,2,1
U0197,28,Female,Surat,Gujarat,2024-07-31,30,41,high,11,6,209.5,3,1,2,2,0,1.5,2,3,2
U0198,24,Male,Bhopal,Madhya Pradesh,2024-03-31,28,43,medium,15,14,165.21,4,2,0,0,1,1.0,1,1,1
U0199,32,Male,Surat,Gujarat,2022-12-11,30,59,low,29,13,149.31,3,0,1,0,1,0.0,0,1,0
U0200,30,Female,Visakhapatnam,Andhra Pradesh,2023-12-17,12,55,medium,43,14,151.36,5,0,2,0,1,0.0,0,3,0
U0201,27,Male,Hyderabad,Telangana,2022-12-22,14,39,medium,25,13,193.0,3,0,3,0,0,0.0,0,2,0
U0202,47,Female,Nagpur,Maharashtra,2024-07-08,9,30,medium,21,8,169.88,2,0,1,1,0,0.0,0,3,0
U0203,27,Male,Surat,Gujarat,2024-08-18,25,75,medium,50,6,170.5,3,0,2,0,0,0.0,0,4,0
U0204,21,Male,Patna,Bihar,2022-06-01,24,51,medium,27,12,154.92,3,1,1,0,5,4.67,3,4,3
U0205,41,Female,Delhi,Delhi,2022-06-07,33,45,medium,12,5,119.8,4,2,1,1,1,3.0,1,3,1
U0206,50,Male,Vadodara,Gujarat,2022-03-26,10,59,medium,49,7,166.14,3,2,0,1,3,4.0,3,1,3
U0207,48,Female,Vadodara,Gujarat,2022-05-07,17,47,medium,30,13,113.15,3,1,0,1,0,0.0,0,1,0
U0208,59,Male,Visakhapatnam,Andhra Pradesh,2023-05-23,26,41,medium,15,11,178.18,2,0,2,0,0,0.0,0,2,0
U0209,57,Male,Visakhapatnam,Andhra Pradesh,2024-02-03,33,76,high,43,7,178.0,2,1,6,1,0,0.0,0,2,1
U0210,61,Female,Surat,Gujarat,2023-11-17,29,65,low,36,4,90.0,3,1,2,1,1,0.0,0,3,1
U0211,36,Male,Chandigarh,Punjab,2022-11-04,11,56,medium,45,10,143.6,4,1,2,1,0,0.0,0,1,0
U0212,59,Female,Lucknow,Uttar Pradesh,2024-03-13,14,46,low,32,9,119.78,3,2,1,1,0,3.0,1,3,1
U0213,42,Female,Coimbatore,Tamil Nadu,2023-11-04,10,39,high,29,10,196.5,3,1,2,1,1,3.0,1,3,1
U0214,50,Male,Bhopal,Madhya Pradesh,2024-01-13,38,53,medium,15,15,136.53,1,0,2,2,1,0.0,0,4,0
U0215,30,Male,Nagpur,Maharashtra,2022-10-09,18,49,low,31,8,160.88,3,1,3,0,2,0.0,0,3,0
U0216,52,Female,Visakhapatnam,Andhra Pradesh,2024-12-14,23,39,low,16,9,145.89,3,1,0,2,0,4.0,1,4,1
